State,Action,Reward,Next State
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.10000000000000009,"[1, 1, 1, 1, 1, 1, 1]"
